memmber: TG-BOT#7599, said User <@261567735895425034> watch your language!memmber: they cant stop us all#7418, said Cuntmemmber: TG-BOT#7599, said User <@261567735895425034> watch your language!
memmber: they cant stop us all#7418, said Cunt
memmber: TG-BOT#7599, said User <@261567735895425034> watch your language!
memmber: they cant stop us all#7418, said Cunt
memmber: TG-BOT#7599, said User <@261567735895425034> watch your language!
memmber: they cant stop us all#7418, said Cunt
memmber: Crysis Wolfie#4911, said cunt
memmber: TG-BOT#7599, said User <@481520542512447498> watch your language!
memmber: Crysis Wolfie#4911, said Cunt
memmber: Crysis Wolfie#4911, said cunt
memmber: Crysis Wolfie#4911, said dont work if its lowercase c
memmber: they cant stop us all#7418, said I know
member: Crysis Wolfie#4911, said okie
member: they cant stop us all#7418, said !apply
member: they cant stop us all#7418, said cunt
member: TG-BOT#7599, said User <@261567735895425034> watch your language!
member: they cant stop us all#7418, said Cunt
member: they cant stop us all#7418, said cunt
member: TG-BOT#7599, said User <@261567735895425034> watch your language!
member: they cant stop us all#7418, said Cunt
member: they cant stop us all#7418, said !apply
member: they cant stop us all#7418, said cunt
member: TG-BOT#7599, said User <@261567735895425034> watch your language!
member: they cant stop us all#7418, said Cunt
member: they cant stop us all#7418, said .kcik <@!481520542512447498>
member: they cant stop us all#7418, said .kick <@!481520542512447498>
member: they cant stop us all#7418, said Stressing me out
member: TG-BOT#7599, said User <@261567735895425034> watch your language!
member: they cant stop us all#7418, said Cunt
member: Crysis Wolfie#4911, said haha
member: they cant stop us all#7418, said Also
member: they cant stop us all#7418, said I have managed to get it to log everything you put in general
member: they cant stop us all#7418, said gvggg
member: they cant stop us all#7418, said Cunt
member: they cant stop us all#7418, said Cunt
member: TG-BOT#7599, said User <@705449717089435668> watch your language!, at 1588436089.4090328
member: TG-BOT#7599, said User <@705449717089435668> watch your language!, at 1588436089.9310088
member: TG-BOT#7599, said User <@705449717089435668> watch your language!, at 1588436090.3800101
member: TG-BOT#7599, said User <@705449717089435668> watch your language!, at 1588436091.0150492
member: TG-BOT#7599, said User <@705449717089435668> watch your language!, at 1588436094.5950077
member: TG-BOT#7599, said User <@705449717089435668> watch your language!, at 1588436095.1115105
member: TG-BOT#7599, said User <@705449717089435668> watch your language!, at 1588436095.578006
member: TG-BOT#7599, said User <@705449717089435668> watch your language!, at 1588436096.0620127
member: TG-BOT#7599, said User <@705449717089435668> watch your language!, at 1588436096.5450084
member: TG-BOT#7599, said User <@705449717089435668> watch your language!, at 1588436100.0625267
member: TG-BOT#7599, said User <@705449717089435668> watch your language!, at 1588436100.506507
member: TG-BOT#7599, said User <@705449717089435668> watch your language!, at 1588436100.9920082
member: TG-BOT#7599, said User <@705449717089435668> watch your language!, at 1588436101.8625083
member: TG-BOT#7599, said User <@705449717089435668> watch your language!, at 1588436102.4285402
member: they cant stop us all#7418, said .load, at 1588436171.6055298
member: TG-BOT#7599, said User <@261567735895425034> watch your language!, at 1588436172.17601
member: TG-BOT#7599, said User <@705449717089435668> watch your language!, at 1588436172.7125642
member: TG-BOT#7599, said User <@705449717089435668> watch your language!, at 1588436173.1860073
member: TG-BOT#7599, said User <@705449717089435668> watch your language!, at 1588436173.9250062
member: TG-BOT#7599, said User <@705449717089435668> watch your language!, at 1588436177.2715209
member: TG-BOT#7599, said User <@705449717089435668> watch your language!, at 1588436177.7575076
member: TG-BOT#7599, said User <@705449717089435668> watch your language!, at 1588436178.2440102
member: TG-BOT#7599, said User <@705449717089435668> watch your language!, at 1588436178.8490274
member: TG-BOT#7599, said User <@705449717089435668> watch your language!, at 1588436179.3510098
member: they cant stop us all#7418, said .load, at 1588436204.4315107
member: TG-BOT#7599, said User <@261567735895425034> watch your language!, at 1588436204.9355087
member: TG-BOT#7599, said User <@705449717089435668> watch your language!, at 1588436205.495047
member: TG-BOT#7599, said User <@705449717089435668> watch your language!, at 1588436206.011027
member: TG-BOT#7599, said User <@705449717089435668> watch your language!, at 1588436206.4915102
member: they cant stop us all#7418, said bvvvv, at 1588436557.7670114
member: TG-BOT#7599, said User <@261567735895425034> watch your language!, at 1588436558.2870102
member: TG-BOT#7599, said User <@705449717089435668> watch your language!, at 1588436558.731506
member: TG-BOT#7599, said User <@705449717089435668> watch your language!, at 1588436559.4375272
member: TG-BOT#7599, said User <@705449717089435668> watch your language!, at 1588436560.051009
member: TG-BOT#7599, said User <@705449717089435668> watch your language!, at 1588436563.24001
member: TG-BOT#7599, said User <@705449717089435668> watch your language!, at 1588436563.6545076
member: TG-BOT#7599, said User <@705449717089435668> watch your language!, at 1588436564.1815104
member: TG-BOT#7599, said User <@705449717089435668> watch your language!, at 1588436564.7035084
member: TG-BOT#7599, said User <@705449717089435668> watch your language!, at 1588436565.159012
member: TG-BOT#7599, said User <@705449717089435668> watch your language!, at 1588436568.8080096
member: TG-BOT#7599, said User <@705449717089435668> watch your language!, at 1588436569.3230097
member: TG-BOT#7599, said User <@705449717089435668> watch your language!, at 1588436569.8835058
member: TG-BOT#7599, said User <@705449717089435668> watch your language!, at 1588436570.397509
member: TG-BOT#7599, said User <@705449717089435668> watch your language!, at 1588436570.9165084
member: TG-BOT#7599, said User <@705449717089435668> watch your language!, at 1588436574.2815087
member: TG-BOT#7599, said User <@705449717089435668> watch your language!, at 1588436574.7665205
member: TG-BOT#7599, said User <@705449717089435668> watch your language!, at 1588436575.2105072
member: TG-BOT#7599, said User <@705449717089435668> watch your language!, at 1588436575.8430107
member: TG-BOT#7599, said User <@705449717089435668> watch your language!, at 1588436576.3010101
member: they cant stop us all#7418, said hi, at 1588437584.672526
member: TG-BOT#7599, said User <@261567735895425034> watch your language!, at 1588437585.0875099
member: TG-BOT#7599, said User <@705449717089435668> watch your language!, at 1588437585.5810065
member: TG-BOT#7599, said User <@705449717089435668> watch your language!, at 1588437586.1410093
member: they cant stop us all#7418, said f3, at 1588437623.5830102
member: TG-BOT#7599, said User <@261567735895425034> watch your language!, at 1588437624.0260112
member: TG-BOT#7599, said User <@705449717089435668> watch your language!, at 1588437624.52551
member: they cant stop us all#7418, said vvv, at 1588437644.7450063
member: TG-BOT#7599, said User <@261567735895425034> watch your language!, at 1588437645.1910112
member: TG-BOT#7599, said User <@705449717089435668> watch your language!, at 1588437645.7370079
member: TG-BOT#7599, said User <@705449717089435668> watch your language!, at 1588437646.1575077
